3/3/2025 8:32:11 PM	Trend	1741033931	Example.drc
Time	HR	Imped.	SpO2	PR(SpO2)	SupraFound	Calibrated	P5sys	P6dia	ST(III)	ST(AVL)	ST(AVR)	ST(AVF)	ST(V1)	Delta2	Theta2	Alpha2	Beta2	BSR2	Ampl3	SEF3	MF3	Delta3	Alpha3	Beta3	BSR3	MF4	Delta4	BSR	VO2	VCO2
20:32:11	72.00	23.00	100.00	72.00	0.00	0.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00
20:32:26	75.00	21.00	100.00	79.00	0.00	0.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00
20:32:36	76.00	18.00	100.00	74.00	0.00	0.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00
20:32:46	67.00	18.00	100.00	69.00	0.00	0.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00
20:32:56	67.00	24.00	100.00	70.00	0.00	0.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00
20:33:06	69.00	21.00	100.00	72.00	0.00	0.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00
20:33:16	70.00	18.00	100.00	72.00	0.00	0.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00
20:33:26	70.00	20.00	100.00	69.00	0.00	0.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00
20:33:36	70.00	20.00	100.00	70.00	0.00	0.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00
20:33:46	71.00	22.00	100.00	73.00	0.00	0.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00	-32767.00
